Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Payment Method,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Preferred Payment Method,Frequency of Purchases,SpenderScore
55,Male,Blouse,Clothing,53,Kentucky,L,Gray,Winter,3.1,Yes,Credit Card,Express,Yes,Yes,14.0,Venmo,26,46.134020618556704
19,Male,Sweater,Clothing,64,Maine,L,Maroon,Winter,3.1,Yes,Bank Transfer,Express,Yes,Yes,2.0,Cash,26,47.16494845360825
50,Male,Jeans,Clothing,73,Massachusetts,S,Maroon,Spring,3.1,Yes,Cash,Free Shipping,Yes,Yes,23.0,Credit Card,52,76.03092783505154
21,Male,Sandals,Footwear,90,Rhode Island,M,Maroon,Spring,3.5,Yes,PayPal,Next Day Air,Yes,Yes,49.0,PayPal,52,94.84536082474226
45,Male,Blouse,Clothing,49,Oregon,M,Turquoise,Spring,2.7,Yes,Cash,Free Shipping,Yes,Yes,31.0,PayPal,1,35.1556304520222
46,Male,Sneakers,Footwear,20,Wyoming,M,White,Summer,2.9,Yes,Venmo,Standard,Yes,Yes,14.0,Venmo,52,45.2319587628866
63,Male,Shirt,Clothing,85,Montana,M,Gray,Fall,3.2,Yes,Debit Card,Free Shipping,Yes,Yes,49.0,Cash,0,60.051546391752574
27,Male,Shorts,Clothing,34,Louisiana,L,Charcoal,Winter,3.2,Yes,Debit Card,Free Shipping,Yes,Yes,19.0,Credit Card,52,54.38144329896907
26,Male,Coat,Outerwear,97,West Virginia,L,Silver,Summer,2.6,Yes,Venmo,Express,Yes,Yes,8.0,Venmo,1,51.006145915939726
57,Male,Handbag,Accessories,31,Missouri,M,Pink,Spring,4.8,Yes,PayPal,2-Day Shipping,Yes,Yes,4.0,Cash,0,14.819587628865976
53,Male,Shoes,Footwear,34,Arkansas,L,Purple,Fall,4.1,Yes,Credit Card,Store Pickup,Yes,Yes,26.0,Bank Transfer,0,24.871134020618555
30,Male,Shorts,Clothing,68,Hawaii,S,Olive,Winter,4.9,Yes,PayPal,Store Pickup,Yes,Yes,10.0,Bank Transfer,26,52.31958762886598
61,Male,Coat,Outerwear,72,Delaware,M,Gold,Winter,4.5,Yes,PayPal,Express,Yes,Yes,37.0,Venmo,26,64.81958762886597
65,Male,Dress,Clothing,51,New Hampshire,M,Violet,Spring,4.7,Yes,Debit Card,Express,Yes,Yes,31.0,PayPal,52,67.78350515463917
64,Male,Coat,Outerwear,53,New York,L,Teal,Winter,4.7,Yes,PayPal,Free Shipping,Yes,Yes,34.0,Debit Card,52,69.97422680412372
64,Male,Skirt,Clothing,59,Rhode Island,M,Teal,Winter,2.8,Yes,Credit Card,Store Pickup,Yes,Yes,8.0,PayPal,13,38.85309278350515
25,Male,Sunglasses,Accessories,36,Alabama,S,Gray,Spring,4.1,Yes,Venmo,Next Day Air,Yes,Yes,44.0,Debit Card,0,32.860824742268036
53,Male,Dress,Clothing,38,Mississippi,XL,Lavender,Winter,4.7,Yes,Debit Card,2-Day Shipping,Yes,Yes,36.0,Venmo,0,30.798969072164944
52,Male,Sweater,Clothing,48,Montana,S,Black,Summer,4.6,Yes,Bank Transfer,Free Shipping,Yes,Yes,17.0,Cash,52,60.82474226804124
66,Male,Pants,Clothing,90,Rhode Island,M,Green,Summer,3.3,Yes,Venmo,Standard,Yes,Yes,46.0,Debit Card,0,61.46907216494844
21,Male,Pants,Clothing,51,Louisiana,M,Black,Winter,2.8,Yes,Credit Card,Express,Yes,Yes,50.0,Cash,0,42.91237113402061
31,Male,Pants,Clothing,62,North Carolina,M,Charcoal,Winter,4.1,Yes,Credit Card,Store Pickup,Yes,Yes,22.0,Debit Card,0,37.75773195876288
56,Male,Pants,Clothing,37,California,M,Peach,Summer,3.4,Yes,Cash,Store Pickup,Yes,Yes,32.0,Debit Card,1,29.356661379857258
31,Male,Pants,Clothing,88,Oklahoma,XL,White,Winter,4.4,Yes,Credit Card,Express,Yes,Yes,40.0,Credit Card,52,90.33505154639175
18,Male,Jacket,Outerwear,22,Florida,M,Green,Fall,2.9,Yes,Cash,Store Pickup,Yes,Yes,16.0,Debit Card,52,47.036082474226795
18,Male,Hoodie,Clothing,25,Texas,M,Silver,Summer,3.6,Yes,Bank Transfer,Express,Yes,Yes,14.0,PayPal,1,16.212331482950038
38,Male,Jewelry,Accessories,20,Nevada,M,Red,Spring,3.6,Yes,Cash,Next Day Air,Yes,Yes,13.0,Credit Card,1,13.24841395717684
56,Male,Shorts,Clothing,56,Kentucky,L,Cyan,Summer,5.0,Yes,Debit Card,Next Day Air,Yes,Yes,7.0,Bank Transfer,0,28.865979381443303
54,Male,Handbag,Accessories,94,North Carolina,M,Gray,Fall,4.4,Yes,Debit Card,Free Shipping,Yes,Yes,41.0,PayPal,0,61.5979381443299
31,Male,Dress,Clothing,48,Wyoming,S,Black,Fall,4.1,Yes,Venmo,Store Pickup,Yes,Yes,14.0,Credit Card,52,59.66494845360825
57,Male,Jewelry,Accessories,31,North Carolina,L,Black,Winter,4.7,Yes,Bank Transfer,Standard,Yes,Yes,16.0,Credit Card,13,27.51288659793814
33,Male,Dress,Clothing,79,West Virginia,L,Brown,Winter,4.7,Yes,Venmo,Store Pickup,Yes,Yes,45.0,Venmo,13,63.46649484536082
36,Male,Jacket,Outerwear,67,Kansas,M,Silver,Summer,4.9,Yes,Bank Transfer,Free Shipping,Yes,Yes,37.0,Venmo,1,46.753568596352096
